data_type,n,algo,mean_time_ns,mean_char_cmp,runs
reverse,1400,quick_std,312966.700,203855.100,10
reverse,1400,string_quick3,94275.100,25441.000,10
reverse,1500,merge_lcp,1137504.200,5668.000,10
reverse,1500,merge_std,1063554.100,12143.000,10
reverse,1500,msd_plain,436020.600,7266.200,10
reverse,1500,msd_switch,230487.400,15371.200,10
reverse,1500,quick_std,346133.200,226383.600,10
reverse,1500,string_quick3,100195.700,27510.100,10
reverse,1600,merge_lcp,1211758.300,6053.400,10
reverse,1600,merge_std,1149266.900,13022.200,10
reverse,1600,msd_plain,456616.700,7755.400,10
reverse,1600,msd_switch,244874.900,16419.500,10
reverse,1600,quick_std,361349.900,235810.700,10
reverse,1600,string_quick3,108075.000,29239.600,10
reverse,1700,merge_lcp,1280091.600,6429.200,10
reverse,1700,merge_std,1222212.500,13859.400,10
reverse,1700,msd_plain,483858.400,8236.600,10
reverse,1700,msd_switch,261516.900,17436.600,10
reverse,1700,quick_std,361079.200,235192.800,10
reverse,1700,string_quick3,113720.800,31291.200,10
reverse,1800,merge_lcp,1361854.100,6811.700,10
reverse,1800,merge_std,1296175.300,14922.300,10
reverse,1800,msd_plain,517162.500,8726.200,10
reverse,1800,msd_switch,277320.600,18489.500,10
reverse,1800,quick_std,363412.400,237471.900,10
reverse,1800,string_quick3,122787.600,33612.900,10
reverse,1900,merge_lcp,1454895.900,7192.800,10
reverse,1900,merge_std,1360025.200,15916.700,10
reverse,1900,msd_plain,545416.700,9212.400,10
reverse,1900,msd_switch,293904.100,19529.800,10
reverse,1900,quick_std,365675.000,239541.600,10
reverse,1900,string_quick3,138637.500,35675.800,10
reverse,2000,merge_lcp,1521500.000,7576.200,10
reverse,2000,merge_std,1459370.800,17049.200,10
reverse,2000,msd_plain,574337.600,9705.000,10
reverse,2000,msd_switch,307216.800,20560.100,10
reverse,2000,quick_std,383504.400,242065.700,10
reverse,2000,string_quick3,137533.300,37737.800,10
reverse,2100,merge_lcp,1695470.700,7952.900,10
reverse,2100,merge_std,1540196.000,17920.500,10
reverse,2100,msd_plain,603195.900,10187.800,10
reverse,2100,msd_switch,324316.800,21594.200,10
reverse,2100,quick_std,403699.800,254049.900,10
reverse,2100,string_quick3,146775.000,40210.400,10
reverse,2200,merge_lcp,1766737.400,8324.500,10
reverse,2200,merge_std,1618633.300,18580.300,10
reverse,2200,msd_plain,645562.300,10674.800,10
reverse,2200,msd_switch,340641.600,22610.900,10
reverse,2200,quick_std,427091.800,275430.300,10
reverse,2200,string_quick3,154699.900,42578.500,10
reverse,2300,merge_lcp,1842175.200,8707.500,10
reverse,2300,merge_std,1699054.000,19404.900,10
reverse,2300,msd_plain,660237.600,11152.800,10
reverse,2300,msd_switch,348975.100,23643.300,10
reverse,2300,quick_std,456646.000,298810.300,10
reverse,2300,string_quick3,158758.200,44272.200,10
reverse,2400,merge_lcp,1921554.100,9087.000,10
reverse,2400,merge_std,1781304.200,20132.800,10
reverse,2400,msd_plain,698200.100,11639.000,10
reverse,2400,msd_switch,366933.300,24671.700,10
reverse,2400,quick_std,499316.600,323631.400,10
reverse,2400,string_quick3,168379.200,46781.600,10
reverse,2500,merge_lcp,1997308.600,9472.400,10
reverse,2500,merge_std,1878775.000,20970.000,10
reverse,2500,msd_plain,720404.100,12116.800,10
reverse,2500,msd_switch,381487.300,25695.900,10
reverse,2500,quick_std,546733.200,344984.100,10
reverse,2500,string_quick3,174791.700,49202.400,10
reverse,2600,merge_lcp,2089933.100,9850.300,10
reverse,2600,merge_std,1947908.300,21947.900,10
reverse,2600,msd_plain,751666.900,12600.200,10
reverse,2600,msd_switch,410650.100,26726.400,10
reverse,2600,quick_std,560433.400,365570.400,10
reverse,2600,string_quick3,183216.700,51942.200,10
reverse,2700,merge_lcp,2163800.100,10223.900,10
reverse,2700,merge_std,2033112.300,22831.300,10
reverse,2700,msd_plain,790595.900,13082.600,10
reverse,2700,msd_switch,414933.100,27728.600,10
reverse,2700,quick_std,593029.300,387794.300,10
reverse,2700,string_quick3,190358.500,55313.100,10
reverse,2800,merge_lcp,2237387.600,10602.600,10
reverse,2800,merge_std,2125591.700,23740.500,10
reverse,2800,msd_plain,808437.500,13567.600,10
reverse,2800,msd_switch,429366.600,28739.800,10
reverse,2800,quick_std,637095.700,412598.900,10
reverse,2800,string_quick3,201545.800,56694.600,10
reverse,2900,merge_lcp,2326354.000,10987.900,10
reverse,2900,merge_std,2244433.500,24687.500,10
reverse,2900,msd_plain,846575.000,14044.600,10
reverse,2900,msd_switch,451883.300,29734.900,10
reverse,2900,quick_std,699895.800,434572.200,10
reverse,2900,string_quick3,212320.800,59182.800,10
reverse,3000,merge_lcp,2445458.300,11373.600,10
reverse,3000,merge_std,2376866.500,25766.500,10
reverse,3000,msd_plain,876721.000,14530.400,10
reverse,3000,msd_switch,465820.900,30794.900,10
reverse,3000,quick_std,695979.300,457500.100,10
reverse,3000,string_quick3,217374.900,62780.700,10
