run,data_type,n,algo,time_ns,char_cmp
1,almost,2500,msd_plain,725500,12046
1,almost,2500,msd_switch,390708,33011
1,random,2600,quick_std,893083,412431
1,random,2600,merge_std,2222500,37363
1,random,2600,merge_lcp,2329250,24133
1,random,2600,string_quick3,299125,49544
1,random,2600,msd_plain,720458,12422
1,random,2600,msd_switch,428292,26369
1,reverse,2600,quick_std,566917,369940
1,reverse,2600,merge_std,2005708,22034
1,reverse,2600,merge_lcp,2108208,9892
1,reverse,2600,string_quick3,182834,52765
1,reverse,2600,msd_plain,749834,12550
1,reverse,2600,msd_switch,399250,26624
1,almost,2600,quick_std,709875,397246
1,almost,2600,merge_std,2014667,33549
1,almost,2600,merge_lcp,1944375,11856
1,almost,2600,string_quick3,210250,60187
1,almost,2600,msd_plain,758459,12530
1,almost,2600,msd_switch,464166,34194
1,random,2700,quick_std,951125,426692
1,random,2700,merge_std,2471000,39195
1,random,2700,merge_lcp,2406917,25124
1,random,2700,string_quick3,309750,54143
1,random,2700,msd_plain,761458,12964
1,random,2700,msd_switch,500500,28114
1,reverse,2700,quick_std,590167,387300
1,reverse,2700,merge_std,2009625,22831
1,reverse,2700,merge_lcp,2157875,10267
1,reverse,2700,string_quick3,190542,55101
1,reverse,2700,msd_plain,802292,13030
1,reverse,2700,msd_switch,405291,27560
1,almost,2700,quick_std,740750,414740
1,almost,2700,merge_std,2002625,34347
1,almost,2700,merge_lcp,2074375,12301
1,almost,2700,string_quick3,215292,59236
1,almost,2700,msd_plain,774334,13010
1,almost,2700,msd_switch,420500,35779
1,random,2800,quick_std,967625,445623
1,random,2800,merge_std,2477250,40882
1,random,2800,merge_lcp,2500584,26081
1,random,2800,string_quick3,320375,50786
1,random,2800,msd_plain,798500,13496
1,random,2800,msd_switch,468167,29329
1,reverse,2800,quick_std,622042,409797
1,reverse,2800,merge_std,2142416,23764
1,reverse,2800,merge_lcp,2272833,10641
1,reverse,2800,string_quick3,192958,56899
1,reverse,2800,msd_plain,801834,13498
1,reverse,2800,msd_switch,428709,28500
1,almost,2800,quick_std,758500,427785
1,almost,2800,merge_std,2038209,35835
1,almost,2800,merge_lcp,2205792,12742
1,almost,2800,string_quick3,236708,68569
1,almost,2800,msd_plain,815625,13500
1,almost,2800,msd_switch,436041,37043
1,random,2900,quick_std,1041667,457822
1,random,2900,merge_std,2616416,42726
1,random,2900,merge_lcp,2646500,27113
1,random,2900,string_quick3,331709,52487
1,random,2900,msd_plain,865916,14036
1,random,2900,msd_switch,475750,30580
1,reverse,2900,quick_std,659083,429471
1,reverse,2900,merge_std,2146500,24674
1,reverse,2900,merge_lcp,2357250,11051
1,reverse,2900,string_quick3,201750,58179
1,reverse,2900,msd_plain,819875,13978
1,reverse,2900,msd_switch,436000,29518
1,almost,2900,quick_std,782083,430779
1,almost,2900,merge_std,2070792,37166
1,almost,2900,merge_lcp,2196416,13192
1,almost,2900,string_quick3,228125,64793
1,almost,2900,msd_plain,838000,14000
1,almost,2900,msd_switch,454750,38338
1,random,3000,quick_std,1021958,469339
1,random,3000,merge_std,2725041,44460
1,random,3000,merge_lcp,2791458,28091
1,random,3000,string_quick3,347334,53276
1,random,3000,msd_plain,900625,14588
1,random,3000,msd_switch,509416,31910
1,reverse,3000,quick_std,711209,452812
1,reverse,3000,merge_std,2281041,25739
1,reverse,3000,merge_lcp,2470625,11431
1,reverse,3000,string_quick3,212583,62432
1,reverse,3000,msd_plain,952584,14452
1,reverse,3000,msd_switch,468667,30568
1,almost,3000,quick_std,687709,450439
1,almost,3000,merge_std,2165667,38337
1,almost,3000,merge_lcp,2238250,13785
1,almost,3000,string_quick3,268375,70504
1,almost,3000,msd_plain,895292,14480
1,almost,3000,msd_switch,478125,39762
2,random,100,quick_std,30792,15900
2,random,100,merge_std,60792,609
2,random,100,merge_lcp,60125,500
2,random,100,string_quick3,6666,1004
2,random,100,msd_plain,23333,358
2,random,100,msd_switch,13166,365
2,reverse,100,quick_std,22417,14492
2,reverse,100,merge_std,55500,613
2,reverse,100,merge_lcp,55958,339
2,reverse,100,string_quick3,5666,1177
2,reverse,100,msd_plain,29958,498
2,reverse,100,msd_switch,15667,1005
2,almost,100,quick_std,27416,15377
2,almost,100,merge_std,44750,768
2,almost,100,merge_lcp,44375,380
